tamano_aula	60
tamano_equipos	5

1	F	14.0	13.0	44.0	3.0	3.0	0.0	16.0	7.0
2	M	9.0	9.0	11.0	6.0	9.0	7.0	10.0	9.0
3	F	12.0	18.0	12.0	2.0	0.0	5.0	6.0	14.0
4	F	14.0	7.0	7.0	5.0	2.0	5.0	20.0	10.0
5	F	7.0	8.0	9.0	11.0	10.0	7.0	9.0	9.0
6	F	9.0	11.0	25.0	5.0	3.0	7.0	2.0	8.0
7	M	8.0	7.0	19.0	9.0	11.0	5.0	2.0	9.0
8	F	4.0	5.0	15.0	12.0	3.0	8.0	9.0	14.0
9	F	13.0	12.0	13.0	1.0	8.0	8.0	10.0	5.0
10	M	7.0	10.0	15.0	4.0	6.0	11.0	6.0	11.0
11	M	10.0	0.0	6.0	12.0	5.0	13.0	14.0	10.0
12	F	7.0	7.0	15.0	13.0	3.0	7.0	7.0	10.0
13	M	8.0	12.0	8.0	7.0	9.0	6.0	14.0	6.0
14	M	19.0	4.0	12.0	8.0	3.0	7.0	9.0	8.0
15	F	5.0	6.0	5.0	22.0	9.0	6.0	16.0	1.0
16	F	6.0	5.0	11.0	14.0	9.0	8.0	10.0	7.0
17	F	12.0	7.0	10.0	6.0	11.0	4.0	20.0	0.0
18	F	6.0	5.0	1.0	14.0	11.0	7.0	15.0	11.0
19	F	2.0	7.0	10.0	13.0	15.0	15.0	5.0	3.0
20	M	10.0	7.0	11.0	8.0	6.0	7.0	19.0	1.0
21	F	23.0	7.0	16.0	3.0	12.0	13.0	23.0	3.0
22	F	9.0	9.0	16.0	6.0	1.0	5.0	8.0	16.0
23	M	6.0	6.0	13.0	13.0	7.0	4.0	12.0	9.0
24	F	9.0	11.0	15.0	6.0	2.0	6.0	11.0	10.0
25	M	8.0	6.0	22.0	7.0	6.0	8.0	7.0	3.0
26	M	9.0	10.0	13.0	9.0	6.0	5.0	10.0	8.0
27	M	11.0	14.0	11.0	8.0	4.0	9.0	6.0	7.0
28	M	13.0	15.0	14.0	11.0	11.0	12.0	14.0	12.0
29	F	6.0	18.0	7.0	6.0	6.0	8.0	18.0	1.0
30	M	16.0	8.0	7.0	13.0	0.0	11.0	15.0	0.0
31	M	5.0	8.0	13.0	14.0	6.0	6.0	12.0	6.0
32	F	9.0	10.0	20.0	10.0	11.0	4.0	21.0	15.0
33	F	11.0	17.0	21.0	17.0	1.0	17.0	9.0	6.0
34	M	14.0	14.0	13.0	11.0	13.0	12.0	13.0	9.0
35	F	5.0	10.0	12.0	13.0	6.0	6.0	12.0	6.0
36	F	7.0	8.0	13.0	5.0	7.0	10.0	10.0	10.0
37	F	12.0	11.0	7.0	7.0	9.0	5.0	13.0	6.0
38	F	10.0	8.0	15.0	10.0	8.0	6.0	9.0	6.0
39	M	8.0	16.0	7.0	16.0	10.0	3.0	9.0	1.0
40	F	7.0	21.0	7.0	10.0	17.0	1.0	27.0	9.0
41	F	4.0	7.0	39.0	4.0	19.0	3.0	10.0	14.0
42	M	6.0	14.0	12.0	2.0	8.0	7.0	18.0	4.0
43	F	15.0	7.0	20.0	4.0	12.0	5.0	5.0	2.0
44	F	3.0	12.0	15.0	6.0	9.0	6.0	16.0	3.0
45	F	10.0	9.0	12.0	4.0	11.0	2.0	19.0	3.0
46	M	8.0	9.0	10.0	5.0	8.0	5.0	16.0	9.0
47	M	10.0	10.0	13.0	1.0	11.0	2.0	16.0	7.0
48	F	8.0	9.0	10.0	7.0	11.0	7.0	16.0	2.0
49	F	11.0	10.0	13.0	13.0	6.0	5.0	9.0	4.0
50	F	10.0	16.0	23.0	10.0	1.0	6.0	19.0	16.0
51	F	9.0	9.0	16.0	4.0	9.0	7.0	10.0	6.0
52	F	15.0	14.0	13.0	1.0	7.0	7.0	10.0	3.0
53	F	9.0	4.0	16.0	7.0	6.0	8.0	7.0	13.0
54	F	14.0	7.0	18.0	3.0	0.0	4.0	8.0	16.0
55	M	14.0	5.0	7.0	0.0	4.0	1.0	24.0	15.0
56	M	7.0	13.0	20.0	0.0	8.0	6.0	7.0	9.0
57	M	6.0	14.0	4.0	9.0	10.0	9.0	18.0	0.0
58	F	9.0	5.0	7.0	8.0	10.0	7.0	21.0	3.0
59	M	10.0	4.0	9.0	8.0	8.0	7.0	18.0	6.0
60	F	15.0	6.0	21.0	24.0	5.0	17.0	6.0	6.0
